district,text,rating,source,lat,lon
Кировский,Музыкальный театр имени Н. М. Загурского — работает (Mo-Su 10:00-20:00),4,osm_active,52.28674811220374,104.28763887941636
Кировский,Есть Музыкальный театр имени Н. М. Загурского (theatre),4,osm_positive,52.28850930426719,104.28519579496836
Кировский,Есть Библиотека ВСГАО (library),4,osm_positive,52.28661792761728,104.28288569084984
Кировский,Есть Научная библиотека БГУЭП (library),4,osm_positive,52.286365752730575,104.28470892876572
Кировский,Европа — работает (Mo-Su 07:00-24:00),4,osm_active,52.28853755101548,104.28236582654077
Кировский,Детская библиотека им. А.С. Пушкина — работает (Mo-Sa 10:00-18:00),4,osm_active,52.28288931512416,104.28725008833295
Кировский,Есть Детская библиотека им. А.С. Пушкина (library),4,osm_positive,52.29092803939143,104.28338751089387
Кировский,Кочевник — работает (Mo-Su 11:30-24:00),4,osm_active,52.28427817011656,104.28225911935276
Кировский,Почта России — работает (Mo-Fr 08:00-22:00; Sa 09:00-19:00; Su 09:00-18:00),4,osm_active,52.29119855276815,104.28290729462277
Кировский,Solaris — работает (10:00-20:00),4,osm_active,52.28932761292008,104.27848699751752
Кировский,Adidas — работает (Mo-Fr 10:00-20:00),4,osm_active,52.283945638309575,104.28636587647854
Кировский,Райффайзен Банк — работает (10:00-19:00),4,osm_active,52.2870997489778,104.2872326549772
Кировский,Стомцентр — работает (08:00-22:00),4,osm_active,52.290847748665236,104.28621425620756
Кировский,Стомцентр — недоступен,2,osm_access,52.29306007522822,104.28936575409608
Кировский,Зайчата — работает (09:00-20:00),4,osm_active,52.289137325023106,104.2826251904135
Кировский,АвтоДак — работает (09:00-20:00),4,osm_active,52.29204323762894,104.28787248662022
Кировский,АвтоДак — недоступен,2,osm_access,52.28954001076235,104.28666155879377
Кировский,Медиал на Ленина — работает (Mo-Fr 08:00-20:00; Sa-Su 08:00-19:00),4,osm_active,52.293953133326426,104.28263277105968
Кировский,Слата — работает (07:00-24:00),4,osm_active,52.28528500189049,104.28122324586037
Кировский,Слата — недоступен,2,osm_access,52.28857462925814,104.28297924742067
Кировский,Фанат — работает (Mo-Su 10:00-20:00),4,osm_active,52.28964055188889,104.28646878637106
Кировский,"Эстрада — работает (Fr-Sa 12:00-02:00; Mo-Th,Su 12:00-00:00)",4,osm_active,52.28822072207605,104.28467805057207
Кировский,Веломарка — работает (Mo-Fr 09:00-17:00),4,osm_active,52.288273397155095,104.28534587015093
Кировский,Багира — работает (24/7),4,osm_active,52.2889977130123,104.28670331962746
Кировский,BARDO — работает (Mo-Su 11:00-00:00),4,osm_active,52.28622640839487,104.28197219912157
