district,text,rating,source,lat,lon,sentiment_label,sentiment_score,sentiment_numeric
Ленинградский,Солнечный камень — работает (Mo-Su 11:00-24:00),4,osm_active,54.733707930323874,20.524315260598797,POSITIVE,1.0,1.0
Ленинградский,"Институт физико-математических наук и информационных технологий БФУ — работает (Mo-Fr 09:00-13:00, 14:00-18:00)",4,osm_active,54.734546751609926,20.524495296697022,POSITIVE,1.0,1.0
Ленинградский,Аптека Плюс — работает (09:00-21:00),4,osm_active,54.73531878234352,20.523995135142812,POSITIVE,1.0,1.0
Ленинградский,Мир Корма — работает (Mo-Su 09:00-21:00),4,osm_active,54.73391160178373,20.52422148938056,POSITIVE,1.0,1.0
Ленинградский,Мир Корма — доступен,5,osm_access,54.73703398747273,20.52737989222863,POSITIVE,1.0,1.0
Ленинградский,Виктория — работает (Mo-Su 08:00-23:00),4,osm_active,54.73456930632605,20.52186602334557,POSITIVE,1.0,1.0
Ленинградский,Konigsbacker — работает (Mo-Fr 08:00-21:00; Sa-Su 09:00-21:00),4,osm_active,54.73592093506997,20.525904717192372,POSITIVE,1.0,1.0
Ленинградский,Круассан — работает (Mo-Fr 08:00-21:00; Sa-Su 09:00-21:00),4,osm_active,54.734317228798865,20.52751815518954,POSITIVE,1.0,1.0
Ленинградский,Банк Российский Капитал — работает (Mo-Fr 09:00-18:00; Sa 09:00-15:00),4,osm_active,54.73169986935469,20.527886454893167,POSITIVE,1.0,1.0
Ленинградский,Добрый день — работает (09:00-21:00),4,osm_active,54.73776801037359,20.52634141389559,POSITIVE,1.0,1.0
Ленинградский,Семейная аптека — работает (24/7),4,osm_active,54.73651488345227,20.528038087699148,POSITIVE,1.0,1.0
Ленинградский,Манхеттен — работает (24/7),4,osm_active,54.7345056773956,20.525469137306015,POSITIVE,1.0,1.0
Ленинградский,магазинчик — работает (24/7),4,osm_active,54.733340302386445,20.527704177872717,POSITIVE,1.0,1.0
Ленинградский,Музыкальный арсенал — работает (24/7),4,osm_active,54.73144802226804,20.525513039627988,POSITIVE,1.0,1.0
Ленинградский,"Медико-диагностический центр — работает (Mo-Fr 09:00-20:00; Sa,Su 09:00-18:00)",4,osm_active,54.72943152040845,20.53073610000134,POSITIVE,1.0,1.0
Ленинградский,Konigsbacker — работает (Mo-Fr 08:00-21:00; Sa-Su 09:00-21:00),4,osm_active,54.73080405925073,20.52799784384728,POSITIVE,1.0,1.0
